id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute,profit_net,mois,indicateur_retour,indicateur_annulation,nombre_commandes_par_client,valeur_vie_client
CMD100024,2025-09-15,C1039,Dakar,Électronique,Produit_Électronique_24,243.32,2,0.07,8.47,Mobile Money,Influenceur,8.7,Livrée,452.57519999999994,67.88627999999999,50.71627999999998,2025-09,0,0,4,1123.3002
CMD100025,2025-08-11,C0398,Cotonou,Beauté,Produit_Beauté_39,18.99,1,0.05,2.41,Carte,Instagram Ads,11.28,Livrée,18.040499999999998,9.922274999999999,-3.7677250000000004,2025-08,0,0,13,2915.11
CMD100026,2025-09-21,C0057,Kinshasa,Maison,Produit_Maison_16,57.58,3,0.17,2.3,Virement,Instagram Ads,10.43,Livrée,143.3742,50.180969999999995,37.45097,2025-09,0,0,16,3396.4945
CMD100027,2025-07-15,C0290,Abidjan,Beauté,Produit_Beauté_47,41.0,1,0.08,6.25,Carte,Email,1.43,Livrée,37.72,20.746000000000002,13.066000000000003,2025-07,0,0,21,3863.6962
CMD100028,2025-11-02,C1557,Dakar,Électronique,Produit_Beauté_9,8.8,1,0.16,5.43,Mobile Money,Instagram Ads,12.44,Livrée,7.392,1.1088,-16.7612,2025-11,0,0,1,7.392
CMD100029,2025-12-16,C0281,Kinshasa,Beauté,Produit_Beauté_14,26.49,2,0.11,9.64,Paiement à la livraison,Instagram Ads,10.49,Livrée,47.1522,25.93371,5.803710000000001,2025-12,0,0,14,3938.7980500000003
CMD100030,2025-11-16,C1412,Douala,Maison,Produit_Maison_29,66.93,2,0.24,8.84,Virement,Instagram Ads,5.14,Livrée,101.73360000000001,35.60676,21.62676,2025-11,0,0,3,418.9671
CMD100031,2025-11-10,C0126,Douala,Maison,Produit_Maison_38,193.75,2,0.08,9.59,Mobile Money,Google Ads,6.25,Livrée,356.5,124.77499999999999,108.93499999999999,2025-11,0,0,14,5553.24415
CMD100032,2025-08-26,C0362,Kinshasa,Maison,Produit_Maison_5,247.48,1,0.07,6.6,Mobile Money,Instagram Ads,11.42,Livrée,230.15639999999996,80.55473999999998,62.534739999999985,2025-08,0,0,13,4004.34455
CMD100033,2025-07-09,C0145,Dakar,Mode,Produit_Mode_43,41.26,1,0.1,4.19,Virement,Google Ads,6.26,Livrée,37.134,16.7103,6.260299999999999,2025-07,0,0,15,3866.2637
CMD100034,2025-11-02,C0067,Abidjan,Électronique,Produit_Électronique_16,413.24,3,0.13,2.95,Paiement à la livraison,Instagram Ads,13.45,Livrée,1078.5564,161.78346,145.38346,2025-11,0,0,20,8476.4071
CMD100036,2025-10-17,C0373,Kinshasa,Beauté,Produit_Beauté_4,28.94,3,0.09,9.22,Carte,Influenceur,5.65,Livrée,79.0062,43.453410000000005,28.583410000000008,2025-10,0,0,21,4220.784500000001
CMD100037,2025-10-12,C1639,Kinshasa,Mode,Produit_Mode_13,17.09,2,0.07,9.65,Mobile Money,Instagram Ads,5.53,Livrée,31.787399999999998,14.30433,-0.8756700000000004,2025-10,0,0,4,612.8174
CMD100038,2025-08-18,C0071,Douala,Beauté,Produit_Beauté_5,18.17,1,0.1,2.73,Mobile Money,Instagram Ads,11.73,Livrée,16.353,8.994150000000001,-5.46585,2025-08,0,0,15,3212.6717
CMD100039,2025-10-22,C1753,Kinshasa,Mode,Produit_Mode_42,39.79,3,0.23,8.7,Carte,Instagram Ads,10.46,Livrée,91.9149,41.361705,22.201704999999997,2025-10,0,0,2,158.5347
CMD100040,2025-11-16,C1984,Cotonou,Maison,Produit_Maison_11,62.42,1,0.07,4.97,Mobile Money,Google Ads,7.93,Livrée,58.050599999999996,20.317709999999998,7.41771,2025-11,0,0,3,212.885
CMD100041,2025-10-13,C0109,Libreville,Beauté,Produit_Beauté_11,21.93,1,0.04,3.99,Carte,Email,1.22,Livrée,21.052799999999998,11.579039999999999,6.369039999999999,2025-10,0,0,8,1624.2921
CMD100042,2025-10-06,C0199,Abidjan,Mode,Produit_Mode_19,31.39,2,0.08,9.7,Paiement à la livraison,Instagram Ads,6.18,Livrée,57.757600000000004,25.990920000000003,10.110920000000004,2025-10,0,0,12,3029.7178999999996
CMD100043,2025-10-17,C1496,Kinshasa,Mode,Produit_Mode_10,17.62,1,0.29,6.22,Paiement à la livraison,Instagram Ads,5.12,Livrée,12.5102,5.629589999999999,-5.71041,2025-10,0,0,2,140.1902
CMD100044,2025-08-18,C0029,Kinshasa,Maison,Produit_Maison_48,138.95,2,0.1,7.9,Carte,Instagram Ads,7.94,Livrée,250.10999999999999,87.53849999999998,71.69849999999998,2025-08,0,0,12,4340.956099999999
CMD100048,2025-07-21,C0298,Abidjan,Beauté,Produit_Beauté_17,27.07,1,0.04,10.0,Virement,Email,0.58,Livrée,25.987199999999998,14.29296,3.7129600000000007,2025-07,0,0,14,2482.7693
CMD100049,2025-08-22,C0643,Douala,Maison,Produit_Maison_30,169.3,1,0.08,4.2,Virement,Google Ads,4.03,Livrée,155.75600000000003,54.51460000000001,46.284600000000005,2025-08,0,0,3,687.3199999999999
CMD100050,2025-09-19,C1916,Cotonou,Électronique,Produit_Électronique_40,366.81,3,0.09,3.07,Paiement à la livraison,Email,1.34,Retournée,1001.3913000000001,150.208695,145.798695,2025-09,1,0,3,1172.8437000000001
CMD100051,2025-11-22,C0150,Lomé,Électronique,Produit_Électronique_9,389.95000000000005,1,0.08,7.09,Virement,Google Ads,7.9,Livrée,358.7540000000001,53.81310000000001,38.82310000000002,2025-11,0,0,16,4210.5255
CMD100052,2025-09-28,C1800,Kinshasa,Mode,Produit_Mode_11,45.4,1,0.15,9.41,Virement,Google Ads,7.75,Livrée,38.589999999999996,17.365499999999997,0.20549999999999713,2025-09,0,0,5,1957.7008
CMD100053,2025-10-21,C1440,Abidjan,Mode,Produit_Mode_43,65.78,1,0.17,3.03,Carte,Influenceur,5.21,Livrée,54.5974,24.568830000000002,16.32883,2025-10,0,0,3,419.2319
CMD100054,2025-11-19,C0339,Kinshasa,Électronique,Produit_Électronique_17,443.99,1,0.1,3.35,Mobile Money,Influenceur,4.65,Retournée,399.591,59.938649999999996,51.938649999999996,2025-11,1,0,17,3766.6256000000003
CMD100055,2025-07-30,C1520,Kinshasa,Électronique,Produit_Électronique_19,287.21,1,0.05,4.57,Virement,Email,1.84,Livrée,272.8495,40.92742499999999,34.51742499999999,2025-07,0,0,5,1475.8953999999999
CMD100056,2025-12-02,C0175,Douala,Électronique,Produit_Électronique_33,414.7,3,0.01,3.67,Virement,Influenceur,6.95,Livrée,1231.6589999999999,184.74884999999998,174.12885,2025-12,0,0,10,3058.3149999999996
CMD100057,2025-11-03,C0026,Douala,Mode,Produit_Mode_18,69.6,2,0.18,7.5,Paiement à la livraison,Google Ads,3.74,Annulée,0.0,0.0,-11.24,2025-11,0,1,23,4546.795
CMD100059,2025-10-22,C0218,Douala,Mode,Produit_Mode_35,15.11,2,0.1,5.45,Mobile Money,Google Ads,5.93,Livrée,27.198,12.2391,0.8591000000000006,2025-10,0,0,16,5131.546
CMD100060,2025-07-10,C1192,Abidjan,Électronique,Produit_Électronique_9,567.49,2,0.17,4.92,Paiement à la livraison,Instagram Ads,8.3,Livrée,942.0333999999999,141.30500999999998,128.08500999999998,2025-07,0,0,1,942.0333999999999
CMD100061,2025-07-11,C0020,Cotonou,Mode,Produit_Mode_44,38.94,2,0.09,9.86,Mobile Money,Instagram Ads,13.97,Livrée,70.8708,31.89186,8.061860000000001,2025-07,0,0,10,2203.2949
CMD100062,2025-09-02,C0724,Abidjan,Électronique,Produit_Électronique_40,330.79,2,0.09,3.5,Paiement à la livraison,Google Ads,4.4,Livrée,602.0378000000001,90.30567,82.40567,2025-09,0,0,4,1204.6473
CMD100063,2025-08-09,C0484,Kinshasa,Mode,Produit_Mode_27,51.33,1,0.18,9.46,Mobile Money,Google Ads,3.44,Livrée,42.0906,18.94077,6.04077,2025-08,0,0,3,1373.7621
CMD100064,2025-07-07,C0170,Douala,Mode,Produit_Mode_18,28.78,1,0.1,8.08,Mobile Money,Instagram Ads,8.22,Livrée,25.902,11.6559,-4.6441,2025-07,0,0,16,5948.2047999999995
CMD100065,2025-08-10,C0221,Douala,Mode,Produit_Mode_15,7.92,3,0.08,9.93,Paiement à la livraison,Google Ads,5.04,Retournée,21.859199999999998,9.83664,-5.133360000000001,2025-08,1,0,12,2731.7078
CMD100066,2025-08-21,C0942,Abidjan,Électronique,Produit_Électronique_15,422.02,1,0.25,7.32,Mobile Money,Instagram Ads,7.02,Livrée,316.515,47.47725,33.137249999999995,2025-08,0,0,4,580.7244
CMD100067,2025-07-07,C0816,Abidjan,Mode,Produit_Mode_50,45.3,1,0.22,6.32,Carte,Email,1.57,Livrée,35.333999999999996,15.900299999999998,8.010299999999997,2025-07,0,0,2,59.31869999999999
CMD100068,2025-09-10,C0260,Douala,Mode,Produit_Mode_2,21.84,2,0.28,4.68,Virement,Email,0.68,Livrée,31.4496,14.15232,8.79232,2025-09,0,0,16,4818.3107
CMD100069,2025-07-30,C0534,Lomé,Électronique,Produit_Électronique_3,206.39,1,0.07,8.23,Virement,Email,2.0,Livrée,191.94269999999997,28.791404999999994,18.561404999999993,2025-07,0,0,2,242.30669999999998
CMD100070,2025-07-28,C0176,Kinshasa,Électronique,Produit_Électronique_28,393.79,2,0.26,8.38,Virement,Instagram Ads,6.11,Livrée,582.8092,87.42138,72.93138,2025-07,0,0,22,4778.5152
CMD100071,2025-12-03,C0236,Kinshasa,Électronique,Produit_Électronique_17,620.91,1,0.06,3.45,Mobile Money,Google Ads,4.26,Livrée,583.6554,87.54831,79.83830999999999,2025-12,0,0,17,6324.21185
CMD100072,2025-07-12,C0003,Douala,Maison,Produit_Maison_24,84.37,2,0.09,6.74,Mobile Money,Google Ads,4.28,Livrée,153.5534,53.74369,42.72369,2025-07,0,0,26,9516.0995
CMD100073,2025-10-19,C0340,Libreville,Électronique,Produit_Électronique_43,121.03,1,0.07,7.89,Virement,Influenceur,10.79,Livrée,112.55789999999999,16.883684999999996,-1.7963150000000034,2025-10,0,0,20,4694.0243
CMD100074,2025-08-01,C0615,Libreville,Électronique,Produit_Maison_21,80.42,1,0.1,6.86,Paiement à la livraison,Instagram Ads,13.37,Livrée,72.378,10.8567,-9.3733,2025-08,0,0,2,139.338
CMD100075,2025-10-12,C1135,Dakar,Mode,Produit_Mode_43,38.11,2,0.05,4.77,Paiement à la livraison,Google Ads,5.69,Livrée,72.40899999999999,32.58405,22.124049999999997,2025-10,0,0,4,1523.9499999999998
CMD100076,2025-10-06,C1848,Dakar,Mode,Produit_Mode_26,17.46,3,0.09,6.64,Virement,Instagram Ads,9.98,Livrée,47.665800000000004,21.449610000000003,4.829610000000002,2025-10,0,0,2,86.09580000000001
CMD100077,2025-11-18,C0622,Kinshasa,Beauté,Produit_Beauté_38,22.91,1,0.1,3.48,Paiement à la livraison,Email,1.34,Livrée,20.619,11.34045,6.52045,2025-11,0,0,1,20.619
CMD100078,2025-12-03,C0952,Abidjan,Mode,Produit_Mode_33,19.56,3,0.17,4.35,Mobile Money,Instagram Ads,11.25,Livrée,48.70439999999999,21.91698,6.316980000000001,2025-12,0,0,2,139.11919999999998
CMD100079,2025-10-30,C1965,Douala,Électronique,Produit_Beauté_19,22.03,2,0.04,9.57,Carte,Email,0.73,Livrée,42.2976,6.34464,-3.95536,2025-10,0,0,4,984.8528000000001
CMD100080,2025-11-09,C1268,Kinshasa,Mode,Produit_Mode_44,23.34,3,0.26,3.57,Mobile Money,Influenceur,8.06,Livrée,51.8148,23.31666,11.686659999999998,2025-11,0,0,1,51.8148
CMD100081,2025-09-18,C0101,Douala,Mode,Produit_Mode_40,66.28,1,0.09,7.78,Paiement à la livraison,Google Ads,3.5,Retournée,60.314800000000005,27.14166,15.86166,2025-09,1,0,18,3839.1215
CMD100082,2025-07-19,C0322,Cotonou,Maison,Produit_Maison_32,185.86,1,0.03,2.98,Paiement à la livraison,Email,1.45,Livrée,180.2842,63.09947,58.66947,2025-07,0,0,19,3221.7659
CMD100083,2025-10-11,C0335,Dakar,Maison,Produit_Maison_50,79.72,2,0.08,4.14,Carte,Influenceur,13.44,Livrée,146.6848,51.339679999999994,33.759679999999996,2025-10,0,0,11,2542.6812
CMD100084,2025-10-17,C0356,Abidjan,Mode,Produit_Mode_36,8.77,3,0.24,8.4,Carte,Influenceur,18.31,Livrée,19.9956,8.99802,-17.711979999999997,2025-10,0,0,20,6580.01
CMD100085,2025-09-02,C0248,Kinshasa,Mode,Produit_Mode_43,65.45,2,0.22,3.06,Paiement à la livraison,Google Ads,6.23,Livrée,102.102,45.9459,36.6559,2025-09,0,0,18,6660.048
CMD100086,2025-11-13,C1219,Dakar,Électronique,Produit_Maison_40,158.01,1,0.05,2.85,Paiement à la livraison,Google Ads,5.49,Livrée,150.1095,22.516424999999998,14.176424999999997,2025-11,0,0,2,178.8915
CMD100087,2025-11-07,C0280,Abidjan,Électronique,Produit_Électronique_48,464.75,3,0.06,5.35,Mobile Money,Influenceur,18.63,Livrée,1310.595,196.58925,172.60925,2025-11,0,0,21,5441.785
CMD100088,2025-10-30,C0384,Douala,Mode,Produit_Mode_41,41.68000000000001,3,0.15,6.53,Paiement à la livraison,Instagram Ads,7.89,Livrée,106.28400000000002,47.82780000000001,33.40780000000001,2025-10,0,0,18,6149.7644
CMD100089,2025-08-31,C0039,Dakar,Mode,Produit_Mode_18,42.98,2,0.17,8.77,Mobile Money,Instagram Ads,7.7,Livrée,71.34679999999999,32.10605999999999,15.636059999999993,2025-08,0,0,18,4204.148649999999
CMD100090,2025-09-24,C0276,Kinshasa,Maison,Produit_Maison_15,100.8,1,0.23,8.55,Mobile Money,Instagram Ads,9.95,Livrée,77.616,27.165599999999998,8.665599999999998,2025-09,0,0,16,4882.0662
CMD100091,2025-10-07,C1446,Dakar,Beauté,Produit_Beauté_27,43.39,2,0.08,7.52,Paiement à la livraison,Instagram Ads,8.15,Livrée,79.83760000000001,43.910680000000006,28.240680000000005,2025-10,0,0,8,3555.6477000000004
CMD100092,2025-09-23,C0212,Kinshasa,Mode,Produit_Mode_25,59.27,1,0.26,9.55,Paiement à la livraison,Google Ads,4.11,Retournée,43.8598,19.73691,6.076910000000001,2025-09,1,0,20,6109.88755
CMD100093,2025-11-27,C0040,Dakar,Électronique,Produit_Électronique_31,482.68,3,0.06,3.54,Paiement à la livraison,Influenceur,15.7,Livrée,1361.1576,204.17364,184.93364000000003,2025-11,0,0,19,5049.0526
CMD100094,2025-07-02,C0611,Kinshasa,Électronique,Produit_Électronique_35,478.83,3,0.1,5.85,Paiement à la livraison,Email,1.48,Livrée,1292.8410000000001,193.92615,186.59615000000002,2025-07,0,0,3,1415.6013
CMD100095,2025-11-17,C1838,Douala,Maison,Produit_Maison_32,118.31,2,0.01,7.01,Paiement à la livraison,Google Ads,6.95,Livrée,234.2538,81.98883,68.02882999999999,2025-11,0,0,4,433.6674
CMD100096,2025-07-08,C0342,Dakar,Maison,Produit_Maison_47,123.29,3,0.05,6.65,Paiement à la livraison,Instagram Ads,5.53,Livrée,351.37649999999996,122.98177499999998,110.80177499999998,2025-07,0,0,8,3080.7073
CMD100097,2025-08-12,C1883,Abidjan,Électronique,Produit_Électronique_26,527.86,2,0.04,4.3,Carte,Email,0.86,Retournée,1013.4911999999999,152.02367999999998,146.86367999999996,2025-08,1,0,1,1013.4911999999999
CMD100098,2025-11-29,C0013,Kinshasa,Mode,Produit_Mode_9,39.48,1,0.08,9.86,Paiement à la livraison,Instagram Ads,14.56,Livrée,36.3216,16.34472,-8.075280000000001,2025-11,0,0,13,2969.3896
CMD100099,2025-10-27,C0133,Dakar,Maison,Produit_Maison_30,129.37,2,0.02,6.86,Mobile Money,Google Ads,7.71,Livrée,253.5652,88.74781999999999,74.17782,2025-10,0,0,16,3987.1796
CMD100100,2025-09-22,C0194,Kinshasa,Mode,Produit_Mode_17,32.24,1,0.26,6.78,Paiement à la livraison,Influenceur,12.29,Livrée,23.8576,10.73592,-8.33408,2025-09,0,0,16,5817.6063
CMD100101,2025-07-21,C0383,Kinshasa,Mode,Produit_Mode_15,31.02,3,0.22,6.3,Virement,Google Ads,4.12,Livrée,72.58680000000001,32.664060000000006,22.244060000000005,2025-07,0,0,15,4227.9765
CMD100102,2025-12-14,C0333,Douala,Beauté,Produit_Beauté_16,20.1,1,0.26,4.25,Carte,Instagram Ads,5.35,Annulée,0.0,0.0,-9.6,2025-12,0,1,15,4237.3768
CMD100104,2025-12-19,C0111,Douala,Mode,Produit_Mode_11,58.08,2,0.27,3.26,Virement,Email,1.28,Livrée,84.79679999999999,38.158559999999994,33.618559999999995,2025-12,0,0,12,4416.2336
CMD100105,2025-12-03,C1531,Abidjan,Électronique,Produit_Électronique_20,441.18,1,0.07,8.97,Mobile Money,Google Ads,3.79,Livrée,410.2974,61.54460999999999,48.784609999999994,2025-12,0,0,2,658.4706
CMD100106,2025-07-28,C0159,Lomé,Électronique,Produit_Électronique_26,355.56,2,0.0,2.67,Paiement à la livraison,Influenceur,7.09,Livrée,711.12,106.66799999999999,96.90799999999999,2025-07,0,0,20,5692.7441
CMD100107,2025-12-31,C0303,Douala,Mode,Produit_Mode_45,27.5,3,0.05,5.46,Carte,Instagram Ads,13.19,Livrée,78.375,35.268750000000004,16.618750000000006,2025-12,0,0,16,4722.7621
CMD100108,2025-09-16,C1229,Abidjan,Beauté,Produit_Beauté_23,29.46,2,0.07,6.66,Carte,Influenceur,5.08,Livrée,54.7956,30.137580000000003,18.397580000000005,2025-09,0,0,2,1025.778
CMD100109,2025-11-14,C0189,Dakar,Mode,Produit_Mode_1,29.44,3,0.3,5.07,Virement,Influenceur,13.51,Retournée,61.824,27.8208,9.240799999999998,2025-11,1,0,18,3327.8949000000002
CMD100110,2025-10-16,C0216,Lomé,Électronique,Produit_Électronique_41,536.39,3,0.04,3.31,Virement,Google Ads,5.13,Livrée,1544.8032,231.72048,223.28048,2025-10,0,0,14,4258.9868
CMD100111,2025-10-26,C0891,Dakar,Beauté,Produit_Beauté_40,22.09,2,0.02,7.85,Virement,Google Ads,7.82,Livrée,43.2964,23.81302,8.143020000000002,2025-10,0,0,8,1438.422
CMD100112,2025-11-15,C0952,Cotonou,Maison,Produit_Maison_21,46.13,2,0.02,8.91,Virement,Influenceur,9.9,Livrée,90.4148,31.645179999999996,12.835179999999996,2025-11,0,0,2,139.11919999999998
CMD100113,2025-09-01,C0177,Kinshasa,Mode,Produit_Mode_16,31.5,2,0.07,8.37,Paiement à la livraison,Instagram Ads,6.54,Livrée,58.589999999999996,26.365499999999997,11.4555,2025-09,0,0,14,2167.9445
CMD100114,2025-10-27,C0342,Libreville,Électronique,Produit_Électronique_32,596.57,1,0.17,4.48,Carte,Instagram Ads,5.64,Livrée,495.1531,74.272965,64.152965,2025-10,0,0,8,3080.7073
CMD100115,2025-09-22,C0108,Kinshasa,Mode,Produit_Mode_22,62.52,2,0.15,9.62,Virement,Google Ads,6.28,Livrée,106.284,47.8278,31.927800000000005,2025-09,0,0,16,5010.4933
CMD100116,2025-09-10,C1436,Dakar,Électronique,Produit_Maison_34,95.18,1,0.0,9.53,Carte,Email,0.82,Livrée,95.18,14.277000000000001,3.927000000000002,2025-09,0,0,4,486.8435
CMD100117,2025-08-18,C0368,Douala,Électronique,Produit_Électronique_45,452.41,1,0.06,7.52,Mobile Money,Instagram Ads,5.79,Livrée,425.2654,63.789809999999996,50.47980999999999,2025-08,0,0,26,5566.4648
CMD100118,2025-10-30,C1005,Kinshasa,Beauté,Produit_Beauté_6,26.235,2,0.06,7.0,Carte,Email,0.95,Livrée,49.321799999999996,27.12699,19.17699,2025-10,0,0,3,2311.9398
CMD100119,2025-09-14,C0354,Dakar,Beauté,Produit_Beauté_31,32.4,3,0.27,6.21,Virement,Instagram Ads,10.48,Livrée,70.95599999999999,39.0258,22.335799999999995,2025-09,0,0,16,5550.3728
CMD100120,2025-11-19,C0217,Kinshasa,Maison,Produit_Maison_23,78.74,3,0.0,6.34,Virement,Email,0.53,Livrée,236.21999999999997,82.67699999999998,75.80699999999997,2025-11,0,0,17,2204.0146
CMD100121,2025-12-27,C0156,Kinshasa,Mode,Produit_Mode_47,32.06,3,0.07,7.82,Carte,Google Ads,5.31,Livrée,89.4474,40.25133,27.121330000000004,2025-12,0,0,23,7029.902
CMD100122,2025-08-19,C0380,Abidjan,Beauté,Produit_Beauté_13,15.19,2,0.06,9.21,Mobile Money,Influenceur,17.97,Livrée,28.557199999999998,15.70646,-11.47354,2025-08,0,0,17,2582.6647000000003
CMD100123,2025-08-25,C0566,Kinshasa,Mode,Produit_Mode_7,18.03,3,0.1,8.21,Virement,Instagram Ads,8.84,Livrée,48.681000000000004,21.906450000000003,4.856450000000002,2025-08,0,0,5,681.8586
CMD100124,2025-08-19,C0184,Dakar,Électronique,Produit_Mode_46,19.22,2,0.26,6.12,Carte,Instagram Ads,9.92,Livrée,28.4456,4.266839999999999,-11.77316,2025-08,0,0,20,7840.7522
CMD100125,2025-11-14,C0023,Douala,Mode,Produit_Mode_41,61.66,2,0.13,6.79,Mobile Money,Google Ads,3.05,Livrée,107.2884,48.27978,38.439780000000006,2025-11,0,0,12,1585.9358
CMD100126,2025-11-03,C0006,Kinshasa,Mode,Produit_Mode_31,46.5,2,0.18,6.94,Paiement à la livraison,Instagram Ads,8.37,Livrée,76.26,34.317,19.006999999999998,2025-11,0,0,17,2321.6684999999998
CMD100127,2025-10-21,C0026,Kinshasa,Beauté,Produit_Beauté_8,22.6,1,0.04,8.91,Paiement à la livraison,Google Ads,6.53,Livrée,21.696,11.932800000000002,-3.5071999999999983,2025-10,0,0,23,4546.795
CMD100128,2025-07-17,C0037,Douala,Mode,Produit_Mode_10,35.18,2,0.08,2.33,Mobile Money,Instagram Ads,9.52,Livrée,64.7312,29.12904,17.27904,2025-07,0,0,16,3109.2409
CMD100129,2025-11-22,C0174,Brazzaville,Électronique,Produit_Électronique_36,345.88,3,0.29,5.91,Carte,Instagram Ads,11.39,Livrée,736.7243999999998,110.50865999999998,93.20865999999998,2025-11,0,0,20,5401.4287
CMD100130,2025-10-15,C1619,Kinshasa,Beauté,Produit_Beauté_29,17.49,3,0.1,4.04,Paiement à la livraison,Instagram Ads,12.31,Livrée,47.223,25.97265,9.622650000000002,2025-10,0,0,4,1094.9758000000002
CMD100132,2025-12-06,C0378,Dakar,Beauté,Produit_Beauté_41,30.11,1,0.06,8.93,Mobile Money,Google Ads,6.02,Livrée,28.303399999999996,15.56687,0.6168700000000005,2025-12,0,0,18,4181.8615
