id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande
CMD100029,2025-12-16,C0281,Kinshasa,Beauté,Produit_Beauté_14,26.49,2,0.11,9.64,Paiement à la livraison,Instagram Ads,10.49,Livrée
CMD100030,2025-11-16,C1412,Douala,Maison,Produit_Maison_29,66.93,2,0.24,8.84,Virement,Instagram Ads,5.14,Livrée
CMD100031,2025-11-10,C0126,Douala,Maison,Produit_Maison_38,193.75,2,0.08,9.59,Mobile Money,Google Ads,6.25,Livrée
CMD100032,2025-08-26,C0362,Kinshassa,Maison,Produit_Maison_5,247.48,1,0.07,6.6,Mobile Money,Instagram Ads,11.42,Livrée
CMD100033,2025-07-09,C0145,Dakar,Mode,Produit_Mode_43,41.26,1,-0.1,4.19,Virement,Google Ads,6.26,Livrée
CMD100034,2025-11-02,C0067,Abidjan,Électronique,Produit_Électronique_16,413.24,3,0.13,2.95,Paiement à la livraison,Instagram Ads,13.45,Livrée
CMD100035,2025-10-30,C0389,Dakar,Beauté,Produit_Beauté_23,21.56,0,0.15,6.61,Paiement à la livraison,Instagram Ads,14.68,Livrée
CMD100036,2025-10-17,C0373,Kinshasa,Beauté,Produit_Beauté_4,28.94,3,0.09,9.22,Carte,Influenceur,5.65,Livrée
CMD100037,2025-10-12,C1639,Kinshassa,Mode,Produit_Mode_13,17.09,2,0.07,9.65,Mobile Money,Instagram Ads,5.53,Livrée
CMD100038,2025-08-18,C0071,Douala,Beauté,Produit_Beauté_5,18.17,1,-0.1,2.73,Mobile Money,Instagram Ads,11.73,Livrée
CMD100039,2025-10-22,C1753,Kinshasa,Mode,Produit_Mode_42,39.79,3,0.23,8.7,Carte,Instagram Ads,10.46,Livrée
CMD100040,2025-11-16,C1984,Cotonou,Maison,Produit_Maison_11,62.42,1,0.07,4.97,Mobile Money,Google Ads,7.93,Livrée
CMD100041,2025-10-13,C0109,Libreville,Beauté,Produit_Beauté_11,21.93,1,0.04,3.99,Carte,Email,1.22,Livrée
CMD100042,2025-10-06,C0199,Abidjan,Mode,Produit_Mode_19,31.39,2,0.08,9.7,Paiement à la livraison,Instagram Ads,6.18,Livrée
CMD100043,2025-10-17,C1496,Kinshassa,Mode,Produit_Mode_10,17.62,1,0.29,6.22,Paiement à la livraison,Instagram Ads,5.12,Livrée
CMD100044,2025-08-18,C0029,Kinshasa,Maison,Produit_Maison_48,138.95,2,0.1,7.9,Carte,Instagram Ads,7.94,Livrée
CMD100045,2025-09-19,C0299,Brazzaville,Maison,Produit_Maison_4,122.17,0,0.06,6.67,Mobile Money,Email,0.78,Livrée
CMD100046,2025-11-08,C0095,Brazzaville,Électronique,Produit_Électronique_44,170.48,0,0.02,6.91,Carte,Google Ads,7.75,retournée
CMD100047,2025-08-30,C0291,Libreville,electronique,Produit_Mode_40,45.44,0,0.09,05.01,Carte,Email,1.67,Livrée
CMD100048,2025-07-21,C0298,Abidjan,Beauté,Produit_Beauté_17,27.07,1,0.04,10.0,Virement,Email,0.58,Livrée
CMD100049,2025-08-22,C0643,Douala,Maison,Produit_Maison_30,169.3,1,0.08,4.2,Virement,Google Ads,04.03,Livrée
CMD100050,2025-09-19,C1916,Cotonou,Électronique,Produit_Électronique_40,-17.38,3,0.09,03.07,Paiement à la livraison,Email,1.34,retournée
CMD100051,2025-11-22,C0150,Lomé,electronique,Produit_Électronique_9,-50.0,1,0.08,07.09,Virement,Google Ads,7.9,Livrée
CMD100052,2025-09-28,C1800,Kinshasa,Mode,Produit_Mode_11,45.4,1,0.15,9.41,Virement,Google Ads,7.75,Livrée
CMD100053,2025-10-21,C1440,Abidjan,Mode,Produit_Mode_43,65.78,1,0.17,03.03,Carte,Influenceur,5.21,Livrée
CMD100054,2025-11-19,C0339,Kinshasa,Électronique,Produit_Électronique_17,443.99,1,-0.1,3.35,Mobile Money,Influenceur,4.65,retournée
CMD100055,2025-07-30,C1520,Kinshassa,Électronique,Produit_Électronique_19,287.21,1,0.05,4.57,Virement,Email,1.84,Livrée
CMD100056,2025-12-02,C0175,Douala,Électronique,Produit_Électronique_33,414.7,3,0.01,3.67,Virement,Influenceur,6.95,Livrée
CMD100057,2025-11-03,C0026,Douala,Mode,Produit_Mode_18,69.6,2,0.18,7.5,Paiement à la livraison,Google Ads,3.74,Annulée
CMD100058,2025-07-12,C0394,Dakar,Beauté,Produit_Beauté_11,15.64,0,0.02,3.87,Virement,Google Ads,3.45,Livrée
CMD100059,2025-10-22,C0218,Douala,Mode,Produit_Mode_35,15.11,2,-0.1,5.45,Mobile Money,Google Ads,5.93,Livrée
CMD100060,2025-07-10,C1192,Abidjan,Électronique,Produit_Électronique_9,567.49,2,0.17,4.92,Paiement à la livraison,Instagram Ads,8.3,Livrée
CMD100061,2025-07-11,C0020,Cotonou,Mode,Produit_Mode_44,-50.0,2,0.09,9.86,Mobile Money,Instagram Ads,13.97,Livrée
CMD100062,2025-09-02,C0724,Abidjan,Électronique,Produit_Électronique_40,330.79,2,0.09,3.5,Paiement à la livraison,Google Ads,4.4,Livrée
CMD100063,2025-08-09,C0484,Kinshassa,Mode,Produit_Mode_27,51.33,1,0.18,9.46,Mobile Money,Google Ads,3.44,Livrée
CMD100064,2025-07-07,C0170,Douala,Mode,Produit_Mode_18,28.78,1,-0.1,08.08,Mobile Money,Instagram Ads,8.22,Livrée
CMD100065,2025-08-10,C0221,Douala,Mode,Produit_Mode_15,7.92,3,0.08,9.93,Paiement à la livraison,Google Ads,05.04,retournée
CMD100066,2025-08-21,C0942,Abidjan,Électronique,Produit_Électronique_15,422.02,1,0.25,7.32,Mobile Money,Instagram Ads,07.02,Livrée
CMD100067,2025-07-07,C0816,Abidjan,Mode,Produit_Mode_50,45.3,1,0.22,6.32,Carte,Email,1.57,Livrée
CMD100068,2025-09-10,C0260,Douala,Mode,Produit_Mode_2,21.84,2,0.28,4.68,Virement,Email,0.68,Livrée
CMD100069,2025-07-30,C0534,Lomé,Électronique,Produit_Électronique_3,206.39,1,0.07,8.23,Virement,Email,2.0,Livrée
CMD100070,2025-07-28,C0176,Kinshasa,Électronique,Produit_Électronique_28,393.79,2,0.26,8.38,Virement,Instagram Ads,6.11,Livrée
CMD100071,2025-12-03,C0236,Kinshasa,Électronique,Produit_Électronique_17,620.91,1,0.06,3.45,Mobile Money,Google Ads,4.26,Livrée
CMD100072,2025-07-12,C0003,Douala,Maison,Produit_Maison_24,84.37,2,0.09,6.74,Mobile Money,Google Ads,4.28,Livrée
CMD100073,2025-10-19,C0340,Libreville,Électronique,Produit_Électronique_43,121.03,1,0.07,7.89,Virement,Influenceur,10.79,Livrée
CMD100074,2025-08-01,C0615,Libreville,electronique,Produit_Maison_21,80.42,1,0.1,6.86,Paiement à la livraison,Instagram Ads,13.37,Livrée
CMD100075,2025-10-12,C1135,Dakar,Mode,Produit_Mode_43,38.11,2,0.05,4.77,Paiement à la livraison,Google Ads,5.69,Livrée
CMD100076,2025-10-06,C1848,Dakar,Mode,Produit_Mode_26,17.46,3,0.09,6.64,Virement,Instagram Ads,9.98,Livrée
CMD100077,2025-11-18,C0622,Kinshasa,Beauté,Produit_Beauté_38,22.91,1,0.1,3.48,Paiement à la livraison,Email,1.34,Livrée
CMD100078,2025-12-03,C0952,Abidjan,Mode,Produit_Mode_33,19.56,3,0.17,4.35,Mobile Money,Instagram Ads,11.25,Livrée
CMD100079,2025-10-30,C1965,Douala,electronique,Produit_Beauté_19,-50.0,2,0.04,9.57,Carte,Email,0.73,Livrée
CMD100080,2025-11-09,C1268,Kinshassa,Mode,Produit_Mode_44,23.34,3,0.26,3.57,Mobile Money,Influenceur,08.06,Livrée
CMD100081,2025-09-18,C0101,Douala,Mode,Produit_Mode_40,66.28,1,0.09,7.78,Paiement à la livraison,Google Ads,3.5,retournée
CMD100082,2025-07-19,C0322,Cotonou,Maison,Produit_Maison_32,185.86,1,0.03,2.98,Paiement à la livraison,Email,1.45,Livrée
CMD100083,2025-10-11,C0335,Dakar,Maison,Produit_Maison_50,79.72,2,0.08,4.14,Carte,Influenceur,13.44,Livrée
CMD100084,2025-10-17,C0356,Abidjan,Mode,Produit_Mode_36,8.77,3,0.24,8.4,Carte,Influenceur,18.31,Livrée
CMD100085,2025-09-02,C0248,Kinshasa,Mode,Produit_Mode_43,65.45,2,0.22,03.06,Paiement à la livraison,Google Ads,6.23,Livrée
CMD100086,2025-11-13,C1219,Dakar,electronique,Produit_Maison_40,158.01,1,0.05,2.85,Paiement à la livraison,Google Ads,5.49,Livrée
CMD100087,2025-11-07,C0280,Abidjan,Électronique,Produit_Électronique_48,464.75,3,0.06,5.35,Mobile Money,Influenceur,18.63,Livrée
CMD100088,2025-10-30,C0384,Douala,Mode,Produit_Mode_41,-50.0,3,0.15,6.53,Paiement à la livraison,Instagram Ads,7.89,Livrée
CMD100089,2025-08-31,C0039,Dakar,Mode,Produit_Mode_18,42.98,2,0.17,8.77,Mobile Money,Instagram Ads,7.7,Livrée
CMD100090,2025-09-24,C0276,Kinshassa,Maison,Produit_Maison_15,100.8,1,0.23,8.55,Mobile Money,Instagram Ads,9.95,Livrée
CMD100091,2025-10-07,C1446,Dakar,Beauté,Produit_Beauté_27,43.39,2,0.08,7.52,Paiement à la livraison,Instagram Ads,8.15,Livrée
CMD100092,2025-09-23,C0212,Kinshasa,Mode,Produit_Mode_25,59.27,1,0.26,9.55,Paiement à la livraison,Google Ads,4.11,retournée
CMD100093,2025-11-27,C0040,Dakar,Électronique,Produit_Électronique_31,482.68,3,0.06,3.54,Paiement à la livraison,Influenceur,15.7,Livrée
CMD100094,2025-07-02,C0611,Kinshassa,Électronique,Produit_Électronique_35,478.83,3,-0.1,5.85,Paiement à la livraison,Email,1.48,Livrée
CMD100095,2025-11-17,C1838,Douala,Maison,Produit_Maison_32,-50.0,2,0.01,07.01,Paiement à la livraison,Google Ads,6.95,Livrée
CMD100096,2025-07-08,C0342,Dakar,Maison,Produit_Maison_47,123.29,3,0.05,6.65,Paiement à la livraison,Instagram Ads,5.53,Livrée
CMD100097,2025-08-12,C1883,Abidjan,Électronique,Produit_Électronique_26,527.86,2,0.04,4.3,Carte,Email,0.86,retournée
CMD100098,2025-11-29,C0013,Kinshasa,Mode,Produit_Mode_9,39.48,1,0.08,9.86,Paiement à la livraison,Instagram Ads,14.56,Livrée
CMD100099,2025-10-27,C0133,Dakar,Maison,Produit_Maison_30,129.37,2,0.02,6.86,Mobile Money,Google Ads,7.71,Livrée
CMD100100,2025-09-22,C0194,Kinshasa,Mode,Produit_Mode_17,32.24,1,0.26,6.78,Paiement à la livraison,Influenceur,12.29,Livrée
CMD100101,2025-07-21,C0383,Kinshassa,Mode,Produit_Mode_15,31.02,3,0.22,6.3,Virement,Google Ads,4.12,Livrée
CMD100102,2025-12-14,C0333,Douala,Beauté,Produit_Beauté_16,20.1,1,0.26,4.25,Carte,Instagram Ads,5.35,Annulée
CMD100103,2025-08-21,C1272,Kinshassa,Électronique,Produit_Électronique_31,353.48,0,0.05,8.81,Mobile Money,Google Ads,6.42,Livrée
CMD100104,2025-12-19,C0111,Douala,Mode,Produit_Mode_11,58.08,2,0.27,3.26,Virement,Email,1.28,Livrée
CMD100105,2025-12-03,C1531,Abidjan,electronique,Produit_Électronique_20,441.18,1,0.07,8.97,Mobile Money,Google Ads,3.79,Livrée
CMD100106,2025-07-28,C0159,Lomé,Électronique,Produit_Électronique_26,355.56,2,0.0,2.67,Paiement à la livraison,Influenceur,07.09,Livrée
CMD100107,2025-12-31,C0303,Douala,Mode,Produit_Mode_45,27.5,3,0.05,5.46,Carte,Instagram Ads,13.19,Livrée
CMD100108,2025-09-16,C1229,Abidjan,Beauté,Produit_Beauté_23,29.46,2,0.07,6.66,Carte,Influenceur,05.08,Livrée
CMD100109,2025-11-14,C0189,Dakar,Mode,Produit_Mode_1,29.44,3,0.3,05.07,Virement,Influenceur,13.51,retournée
CMD100110,2025-10-16,C0216,Lomé,Électronique,Produit_Électronique_41,536.39,3,0.04,3.31,Virement,Google Ads,5.13,Livrée
CMD100111,2025-10-26,C0891,Dakar,Beauté,Produit_Beauté_40,-50.0,2,0.02,7.85,Virement,Google Ads,7.82,Livrée
CMD100112,2025-11-15,C0952,Cotonou,Maison,Produit_Maison_21,46.13,2,0.02,8.91,Virement,Influenceur,9.9,Livrée
CMD100113,2025-09-01,C0177,Kinshassa,Mode,Produit_Mode_16,31.5,2,0.07,8.37,Paiement à la livraison,Instagram Ads,6.54,Livrée
CMD100114,2025-10-27,C0342,Libreville,Électronique,Produit_Électronique_32,596.57,1,0.17,4.48,Carte,Instagram Ads,5.64,Livrée
CMD100115,2025-09-22,C0108,Kinshasa,Mode,Produit_Mode_22,62.52,2,0.15,9.62,Virement,Google Ads,6.28,Livrée
CMD100116,2025-09-10,C1436,Dakar,electronique,Produit_Maison_34,95.18,1,0.0,9.53,Carte,Email,0.82,Livrée
CMD100117,2025-08-18,C0368,Douala,Électronique,Produit_Électronique_45,452.41,1,0.06,7.52,Mobile Money,Instagram Ads,5.79,Livrée
CMD100118,2025-10-30,C1005,Kinshasa,Beauté,Produit_Beauté_6,-50.0,2,0.06,7.0,Carte,Email,0.95,Livrée
CMD100119,2025-09-14,C0354,Dakar,Beauté,Produit_Beauté_31,32.4,3,0.27,6.21,Virement,Instagram Ads,10.48,Livrée
CMD100120,2025-11-19,C0217,Kinshasa,Maison,Produit_Maison_23,78.74,3,0.0,6.34,Virement,Email,0.53,Livrée
CMD100121,2025-12-27,C0156,Kinshasa,Mode,Produit_Mode_47,32.06,3,0.07,7.82,Carte,Google Ads,5.31,Livrée
CMD100122,2025-08-19,C0380,Abidjan,Beauté,Produit_Beauté_13,15.19,2,0.06,9.21,Mobile Money,Influenceur,17.97,Livrée
CMD100123,2025-08-25,C0566,Kinshassa,Mode,Produit_Mode_7,18.03,3,-0.1,8.21,Virement,Instagram Ads,8.84,Livrée
CMD100124,2025-08-19,C0184,Dakar,electronique,Produit_Mode_46,19.22,2,0.26,6.12,Carte,Instagram Ads,9.92,Livrée
CMD100125,2025-11-14,C0023,Douala,Mode,Produit_Mode_41,61.66,2,0.13,6.79,Mobile Money,Google Ads,03.05,Livrée
CMD100126,2025-11-03,C0006,Kinshasa,Mode,Produit_Mode_31,46.5,2,0.18,6.94,Paiement à la livraison,Instagram Ads,8.37,Livrée
CMD100127,2025-10-21,C0026,Kinshasa,Beauté,Produit_Beauté_8,22.6,1,0.04,8.91,Paiement à la livraison,Google Ads,6.53,Livrée
CMD100128,2025-07-17,C0037,Douala,Mode,Produit_Mode_10,35.18,2,0.08,2.33,Mobile Money,Instagram Ads,9.52,Livrée
CMD100129,2025-11-22,C0174,Brazzaville,Électronique,Produit_Électronique_36,345.88,3,0.29,5.91,Carte,Instagram Ads,11.39,Livrée
CMD100130,2025-10-15,C1619,Kinshasa,Beauté,Produit_Beauté_29,17.49,3,0.1,04.04,Paiement à la livraison,Instagram Ads,12.31,Livrée
CMD100131,2025-10-22,C0301,Kinshassa,Beauté,Produit_Beauté_37,30.15,0,0.05,9.45,Virement,Google Ads,5.85,Livrée
CMD100132,2025-12-06,C0378,Dakar,Beauté,Produit_Beauté_41,30.11,1,0.06,8.93,Mobile Money,Google Ads,06.02,Livrée
CMD100133,2025-08-24,C0041,Lomé,Maison,Produit_Maison_36,74.28,1,0.07,8.46,Mobile Money,Email,1.11,Livrée
CMD100134,2025-07-20,C0209,Lomé,Beauté,Produit_Beauté_19,35.32,2,-0.1,5.11,Paiement à la livraison,Email,01.05,Livrée
CMD100135,2025-07-09,C0361,Kinshasa,Mode,Produit_Mode_5,36.08,1,0.05,6.0,Paiement à la livraison,Email,0.75,Livrée
CMD100136,2025-12-23,C0135,Brazzaville,Beauté,Produit_Beauté_28,25.72,3,0.06,2.15,Mobile Money,Email,1.72,Livrée
CMD100137,2025-07-30,C0331,Kinshasa,Électronique,Produit_Électronique_10,258.23,3,0.29,3.56,Virement,Instagram Ads,11.55,retournée
CMD100138,2025-07-19,C0157,Dakar,Électronique,Produit_Électronique_29,645.9,1,0.05,5.31,Virement,Google Ads,6.58,Livrée
CMD100139,2025-08-01,C0155,Kinshasa,Électronique,Produit_Électronique_33,433.37,3,0.08,9.34,Virement,Influenceur,6.96,Livrée
CMD100140,2025-11-16,C0041,Kinshasa,Mode,Produit_Mode_48,-50.0,1,0.29,3.7,Paiement à la livraison,Google Ads,7.42,Livrée
CMD100141,2025-09-21,C0052,Abidjan,Mode,Produit_Mode_49,57.28,1,0.24,8.81,Carte,Influenceur,15.71,Livrée
CMD100142,2025-12-20,C1180,Lomé,Beauté,Produit_Beauté_31,20.46,3,0.02,2.19,Mobile Money,Email,1.79,Livrée
CMD100143,2025-11-10,C1876,Dakar,Beauté,Produit_Beauté_41,28.46,3,0.15,7.56,Paiement à la livraison,Instagram Ads,10.94,Livrée
CMD100144,2025-11-03,C0962,Abidjan,Mode,Produit_Mode_21,54.65,3,0.25,4.12,Virement,Instagram Ads,11.03,Livrée
CMD100145,2025-12-19,C0082,Douala,Beauté,Produit_Beauté_43,33.83,1,-0.1,8.4,Virement,Instagram Ads,8.55,Livrée
CMD100146,2025-10-11,C1126,Douala,Électronique,Produit_Électronique_21,439.71,2,0.16,9.96,Carte,Instagram Ads,6.9,Annulée
CMD100147,2025-09-03,C0395,Abidjan,Mode,Produit_Mode_43,52.5,0,0.29,2.77,Carte,Email,1.54,Livrée
CMD100148,2025-11-16,C0027,Kinshassa,Mode,Produit_Mode_40,59.71,3,-0.1,6.32,Virement,Influenceur,18.83,Livrée
CMD100149,2025-11-05,C1556,Douala,Maison,Produit_Maison_36,71.42,2,0.25,2.5,Virement,Instagram Ads,13.65,Annulée
CMD100150,2025-08-03,C0897,Kinshasa,Électronique,Produit_Électronique_8,261.19,2,-0.1,6.13,Paiement à la livraison,Influenceur,13.61,Livrée
CMD100151,2025-07-08,C1246,Douala,Maison,Produit_Maison_36,58.49,2,0.04,7.39,Virement,Email,1.1,Livrée
CMD100152,2025-07-04,C0047,Dakar,Mode,Produit_Mode_30,34.58,2,0.15,7.13,Carte,Instagram Ads,6.74,Livrée
CMD100153,2025-07-31,C0315,Kinshasa,Beauté,Produit_Beauté_33,21.4,2,0.2,9.62,Virement,Instagram Ads,6.39,Livrée
CMD100154,2025-12-28,C0247,Kinshassa,Maison,Produit_Maison_30,117.58,1,0.07,09.01,Mobile Money,Instagram Ads,12.77,Livrée
CMD100155,2025-11-19,C0097,Cotonou,Mode,Produit_Mode_5,-50.0,1,0.2,3.69,Mobile Money,Instagram Ads,8.65,Livrée
CMD100156,2025-09-09,C1749,Kinshassa,Mode,Produit_Mode_1,17.56,3,0.09,2.5,Virement,Instagram Ads,6.21,Livrée
CMD100157,2025-09-11,C1715,Brazzaville,Mode,Produit_Mode_10,53.23,1,0.11,8.34,Paiement à la livraison,Instagram Ads,6.74,Livrée
CMD100158,2025-10-23,C0176,Dakar,Mode,Produit_Mode_30,45.71,2,0.23,2.15,Paiement à la livraison,Google Ads,05.08,Livrée
CMD100159,2025-09-21,C1428,Lomé,Électronique,Produit_Électronique_15,139.14,2,0.2,2.52,Paiement à la livraison,Instagram Ads,8.24,Livrée
CMD100160,2025-10-14,C0381,Kinshassa,Électronique,Produit_Électronique_25,497.93,1,0.01,5.81,Paiement à la livraison,Google Ads,4.62,Livrée
CMD100161,2025-12-17,C1335,Abidjan,Mode,Produit_Mode_3,20.38,2,0.29,8.47,Paiement à la livraison,Instagram Ads,6.33,Livrée
CMD100162,2025-08-02,C0302,Abidjan,Électronique,Produit_Électronique_29,389.48,1,0.05,5.6,Carte,Google Ads,4.13,Livrée
CMD100163,2025-07-26,C0233,Kinshasa,electronique,Produit_Maison_27,126.11,1,0.0,2.84,Mobile Money,Email,1.62,retournée
CMD100164,2025-12-15,C0153,Douala,Électronique,Produit_Électronique_40,307.71,3,0.09,8.64,Virement,Influenceur,12.79,Livrée
CMD100165,2025-12-25,C0041,Abidjan,electronique,Produit_Électronique_21,127.37,3,0.29,3.65,Paiement à la livraison,Instagram Ads,7.95,Livrée
CMD100166,2025-12-08,C1555,Kinshassa,Électronique,Produit_Électronique_40,477.0,2,0.09,5.89,Carte,Email,0.69,Livrée
CMD100167,2025-07-18,C0350,Douala,Maison,Produit_Maison_28,168.99,2,0.13,5.52,Carte,Instagram Ads,14.28,Livrée
CMD100168,2025-07-26,C1441,Libreville,Mode,Produit_Mode_11,32.74,3,0.21,9.35,Paiement à la livraison,Influenceur,17.54,Livrée
CMD100169,2025-12-25,C0014,Lomé,Mode,Produit_Mode_19,35.03,1,0.24,08.03,Carte,Influenceur,9.12,retournée
CMD100170,2025-09-30,C0074,Douala,Électronique,Produit_Électronique_11,335.18,1,0.08,6.34,Mobile Money,Google Ads,7.2,Livrée
CMD100171,2025-08-14,C0195,Douala,Mode,Produit_Mode_15,44.71,3,0.09,3.29,Mobile Money,Instagram Ads,5.94,Livrée
CMD100172,2025-10-27,C0941,Lomé,Mode,Produit_Mode_30,48.09,3,0.25,3.5,Carte,Email,1.33,Livrée
CMD100173,2025-09-12,C0323,Lomé,Mode,Produit_Mode_38,45.12,2,0.26,7.43,Virement,Google Ads,6.75,Livrée
CMD100174,2025-09-15,C0868,Cotonou,Beauté,Produit_Beauté_20,26.85,2,0.16,5.3,Paiement à la livraison,Instagram Ads,12.22,Livrée
CMD100175,2025-08-20,C1747,Kinshasa,Beauté,Produit_Beauté_25,-1.81,2,0.1,7.79,Mobile Money,Instagram Ads,8.88,Livrée
CMD100176,2025-11-24,C0151,Kinshasa,Électronique,Produit_Électronique_2,370.7,2,0.06,7.56,Virement,Email,0.98,Livrée
CMD100177,2025-12-16,C0004,Brazzaville,Maison,Produit_Maison_39,-50.0,1,0.05,2.71,Carte,Google Ads,4.64,Livrée
CMD100178,2025-11-05,C1849,Douala,Électronique,Produit_Électronique_15,422.78,1,0.05,7.92,Virement,Google Ads,7.96,Livrée
CMD100179,2025-12-10,C0128,Kinshasa,Maison,Produit_Maison_41,143.07,1,0.02,9.44,Mobile Money,Influenceur,15.16,Livrée
CMD100180,2025-07-25,C1323,Kinshasa,Beauté,Produit_Beauté_3,21.71,1,0.02,2.64,Paiement à la livraison,Google Ads,5.41,Livrée
CMD100181,2025-11-26,C0067,Douala,Maison,Produit_Maison_21,141.15,1,0.0,9.38,Virement,Google Ads,3.66,Annulée
CMD100182,2025-10-15,C0067,Kinshasa,Mode,Produit_Mode_34,53.29,2,-0.1,2.27,Virement,Instagram Ads,9.5,Livrée
CMD100183,2025-11-06,C1700,Libreville,Électronique,Produit_Électronique_19,316.88,1,0.13,6.39,Paiement à la livraison,Instagram Ads,12.72,Livrée
CMD100184,2025-09-25,C0959,Cotonou,Électronique,Produit_Électronique_49,539.17,2,0.1,5.71,Mobile Money,Google Ads,3.99,Livrée
CMD100185,2025-08-27,C1483,Dakar,Maison,Produit_Maison_36,104.92,0,0.06,6.36,Paiement à la livraison,Instagram Ads,12.2,Livrée
CMD100186,2025-10-02,C0202,Kinshasa,Maison,Produit_Maison_30,160.48,3,0.05,9.57,Carte,Google Ads,5.42,retournée
CMD100187,2025-10-03,C1376,Dakar,Beauté,Produit_Beauté_41,6.73,2,0.05,4.85,Paiement à la livraison,Influenceur,5.79,Livrée
